city_name,pearson_corr,pearson_pvalue,kendall_tau,kendall_tau_pvalue,mean_connectivity,std_connectivity,mean_accessibility,std_accessibility,median_connectivity,median_accessibility
Addis Ababa,0.9648111019163872,0.000437755390352995,0.8095238095238096,0.010714285714285714,0.6642865297444984,0.05416825949316269,0.36815356634245866,0.08271776927037094,0.6561159800017934,0.37501142213167293
Adelaide,0.750168138671808,0.01989879202402364,0.5555555555555556,0.04461529982363316,0.25351958197881636,0.02961898173667749,0.3998645112404082,0.04288523070882631,0.2592936963377903,0.41386206253487606
Amsterdam,0.9256613291419838,0.0003427485525511012,0.7777777777777778,0.0024250440917107582,0.5249113341362704,0.031144261975980934,0.47436247221696437,0.06571467256261772,0.5292787920899741,0.46502843353615686
Atlanta,0.7968018050215315,0.01790824556963958,0.7857142857142856,0.005505952380952381,0.4821690424461864,0.09080336311186044,0.41359217306477497,0.11930122981549413,0.46485732225544013,0.4100986992696247
Auckland,0.7825904433534125,0.001564500192873465,0.5897435897435896,0.0042892835687974576,0.5362305150466848,0.11800610905186848,0.44052122276816486,0.049235979004760975,0.5527511052428948,0.4403167117571573
Bangkok,0.8009706521033293,3.6745530206549275e-08,0.620967741935484,7.746489342078325e-08,0.445197505454394,0.07528979420886851,0.30624886757786723,0.1285165527520431,0.44349198897965614,0.2961070902943328
Barcelona,0.8516492630688421,0.03137946457820342,0.7333333333333333,0.05555555555555555,0.6262034947181424,0.03760113895440926,0.7070141230365409,0.03698947391334816,0.6213430823978539,0.7059289517288226
Bari,0.9666280884625131,0.033371911537486865,1.0,0.08333333333333333,0.49647317282871606,0.12295771025903561,0.5528906725759938,0.08365996417308703,0.49981301202724093,0.5715861412647262
Beijing,,,,,0.0,0.0,0.30397502159195455,0.07843076440080986,0.0,0.317538932291748
Berlin,0.8475251492670717,1.269052713707683e-08,0.6455026455026455,1.8880103536860112e-07,0.6383472101156801,0.061998363153486925,0.5378023893806684,0.07222415611455012,0.643682979527414,0.5229150172246562
Bogota,0.7588501144976639,0.006770426206639431,0.4909090909090909,0.04053235730319064,0.3093809821731899,0.03609102872730078,0.5480435861299348,0.07761638785728675,0.3071108402364342,0.5523843255505325
Bologna,0.8842192834432222,0.0193317311450618,0.7333333333333333,0.05555555555555555,0.6047068734401693,0.0655107349426902,0.5790386755806375,0.056232589773314925,0.6051393185039615,0.5506002781346381
Boston,0.39154542708907575,0.18581272925997225,0.25641025641025633,0.25185761030379084,0.542278491550932,0.04809456242609747,0.5496857072840745,0.08051330244412506,0.5373494938588832,0.5783191055303669
Brisbane,0.880115748631065,6.751520249974441e-07,0.7660818713450293,2.9769299694187086e-07,0.5696831902061532,0.09778598945709387,0.45238739282059753,0.08432439848524027,0.5640958664067939,0.4396369732254718
Budapest,0.8954594001903223,1.499226226951097e-05,0.7362637362637363,7.724287672204338e-05,0.5865344847498929,0.08404731899219302,0.5220548535719455,0.06161492354125255,0.5513444171592121,0.5139832074519908
Buenos Aires,0.8778505865968071,0.12214941340319285,1.0,0.08333333333333333,0.1539214430665862,0.009960158358131709,0.5978745038246596,0.04610636967295061,0.1493933292270676,0.5968487149733022
Calgary,0.8319047654859004,8.636539575212996e-07,0.6758893280632412,9.569699318685393e-07,0.48947050495144184,0.08286038494775684,0.4049731118652209,0.07985518507949411,0.4709250149696109,0.39601648556854735
Catania,0.8689703741005005,0.13102962589949962,0.6666666666666669,0.3333333333333333,0.4855549174454987,0.04456050004059523,0.49281621701071116,0.0797544341366287,0.4873266178077618,0.48931132265866584
Chicago,0.45790106550326354,0.05601933177707758,0.33333333333333337,0.057364051643502896,0.6431095926785436,0.09046063113274325,0.4899517520771293,0.09017508357332159,0.652680033931602,0.4940943142739097
City of Cape Town,,,,,0.0,0.0,0.30118730190536036,0.08430133645241082,0.0,0.320023402735447
City of Los Angeles,0.5085231910191108,0.009440192737503314,0.21999999999999997,0.12994145940142376,0.5136925283331043,0.09326137073057505,0.39935762862102536,0.10613073921946951,0.5190158445323771,0.3889580225843518
City of New York City,0.3024610197545682,0.057831650462336494,0.16410256410256413,0.13587424025509032,0.5170197677610482,0.1657434827546001,0.4955903069232366,0.09256591035989349,0.5641991032103172,0.4902007819708607
City of Prague,0.9316037463562679,8.81066593371346e-05,0.7777777777777777,0.0009463183421516755,0.6348381788269755,0.07008348518051652,0.5040966982447999,0.06422386635467019,0.6236748899084266,0.4791625732304706
Copenhagen Kommune,0.7925617619646105,0.2074382380353894,0.0,1.0,0.5617117899817101,0.04151430859748996,0.5610237955450038,0.025089935697699683,0.5573410303661588,0.5493888605680736
Dallas,0.5643713476987875,0.01469107695431684,0.39869281045751637,0.021404417849918617,0.5191860040242862,0.12582440784728124,0.35695591646470787,0.08724003394672494,0.481715156262864,0.3480331047817624
Detroit,0.5088697751128849,0.04411275356627416,0.3,0.11604743302854507,0.5726490832031378,0.03426684073803825,0.4056874885287812,0.07466774726062013,0.5726958853423607,0.38342112214157476
Dublin,0.9018115388944161,0.013988144646304773,0.6,0.1361111111111111,0.5847946227661033,0.07830715080870096,0.5807876829945455,0.05448919261728764,0.5708386445768292,0.5745379713977885
Edinburgh,0.704815806072311,0.11784031578627305,0.6,0.1361111111111111,0.5580049325664251,0.055627320270122904,0.5396618767828557,0.07784071701386829,0.5571779826201855,0.5037665537310116
Edmonton,0.848264597546596,0.00012602199952094795,0.7362637362637363,7.724287672204338e-05,0.5294472956752887,0.07481297832481616,0.37994258090830496,0.08969028886888523,0.5079552125959974,0.394067411916013
Florence,0.9468572311906117,0.004161189136815607,0.8666666666666666,0.016666666666666666,0.6407301253385532,0.0539505024145464,0.5961772565950356,0.05056158784178606,0.6415596253015694,0.595766264728891
Fortaleza,0.8743128165073509,0.004507634322702839,0.6428571428571428,0.03115079365079365,0.5668084313129724,0.10749642763048488,0.4443240935323334,0.0812032371304917,0.5412469205049797,0.4254198070558681
Fukuoka,0.583507193030742,0.006916887591368246,0.3473684210526316,0.033643947242160896,0.567125049307957,0.11996214199451344,0.42312228666892204,0.10527572352822487,0.5598896461753687,0.42225005795296167
Genoa,0.9245902228806265,0.002879047334684194,0.8095238095238096,0.010714285714285714,0.5611538704350231,0.08409389256436485,0.6241043631804756,0.057593731458652854,0.5829416062363711,0.6243792360408168
Greater London,0.8877340197737481,0.04438682858137614,0.6,0.23333333333333334,0.5872791135620405,0.04528907851019853,0.5447004115433239,0.030618255256452266,0.5681689725650573,0.5357453318759876
Hanoi,,,,,0.0,0.0,0.37429628236364837,0.11814214064487567,0.0,0.35249393954024966
Helsinki,0.7767992197541964,8.052563086515818e-06,0.5869565217391304,2.271276851286088e-05,0.47957857005056265,0.06240278512840729,0.48283989529691285,0.06815402935816049,0.48287353901885155,0.48084189242363673
Ho Chi Minh City,,,,,0.0,0.0,0.36144568353495443,0.13459054044281932,0.0,0.39659731750836863
Houston,0.6560476128714752,0.0002736939027893577,0.6000000000000001,5.051627829856436e-06,0.47739008945354244,0.1313135773781952,0.2731315710743672,0.0866670589636821,0.5005032417511246,0.2928762273148523
Istanbul,0.5733905489288267,0.025439413840011856,0.580952380952381,0.0019359627197342143,0.5950114178348129,0.15914882049727788,0.440482235235648,0.07900570281256394,0.6160095883376345,0.47151178130630694
Jakarta,0.843113880249864,0.0001521710909497502,0.6703296703296704,0.00045112620881470087,0.6911730558948516,0.08668483231171002,0.4155224118858541,0.08101680149234741,0.6916319622164617,0.4067394584129874
Lima Metropolitana,,,,,0.0,0.0,0.49374548864949075,0.08202856015451639,0.0,0.5092181943215047
Lisbon,0.7909366820515134,0.20906331794848665,0.3333333333333334,0.75,0.4302961277218897,0.041925276262528906,0.6396886708087414,0.06189517982516433,0.42750981606270033,0.6114651094133456
Madrid,0.8689711481727173,2.6117719006545062e-05,0.6952380952380953,0.00011760372441589373,0.5861928183121665,0.07270100822517774,0.6163891769834389,0.0845528609353499,0.6015203128612464,0.6257160710201659
Manchester,0.9412308084562833,0.0015578159241886294,0.7142857142857143,0.03015873015873016,0.32171477501758255,0.04734682009847745,0.5407499264374818,0.0668486468387082,0.315050978898274,0.5369820854102473
Manila,0.6478468944432387,0.0003458163014202733,0.3476923076923077,0.01250555929784387,0.6210323663192194,0.1039518479028485,0.6270474601349029,0.08510447463427058,0.6213273931939386,0.6484096827981574
Medellin,,,,,0.0,0.0,0.5695344903345517,0.014112578918207754,0.0,0.562673116155145
Melbourne,0.9843320807862139,0.015667919213786075,0.6666666666666669,0.3333333333333333,0.5693552771142641,0.07012902276546161,0.41284662691334406,0.05742385616651746,0.5804398213955855,0.41409990520992157
Mexico City,0.8676356317448337,0.0005382425100973267,0.6727272727272727,0.0031063111271444604,0.5296937063852577,0.1332630519979906,0.4258593236822597,0.1311418928761823,0.5524729502791076,0.49263664629835
Miami,0.2656382220023661,0.6657997987372674,0.0,1.0,0.6374804218321238,0.07735693432456597,0.4361811778567784,0.05487708184891574,0.6774563752530667,0.40741657892817884
Milan,0.9354434070228594,0.00021122798610390863,0.8888888888888888,0.00024250440917107584,0.5924335633765135,0.06379946218731186,0.5849803174619533,0.04468183359883715,0.561448769200153,0.5838553064466822
Milwaukee,0.4957280631451189,0.07143853115493315,0.3626373626373627,0.07945689917354104,0.6021197658595215,0.12249213621015179,0.45534350879368635,0.07851490761127969,0.6075369179258173,0.47438695737933767
Minneapolis,0.8243268753209004,0.04358084184641746,0.6,0.1361111111111111,0.6567207864237469,0.070263741403124,0.48904953942320045,0.06783796324416004,0.6392003447075856,0.49946353898860113
Montreal (region administrative),0.9120237599259935,1.3652059245866353e-07,0.7516339869281047,1.4423930789510103e-06,0.5950832527284491,0.11302100497782962,0.51524457198808,0.08302017326308457,0.6030687573919282,0.5027507192902467
Moscow,,,,,0.0,0.0,0.4927093632481863,0.08510531526844876,0.0,0.5122127969376573
Mumbai,,,,,0.0,0.0,0.4578898893557022,0.03366004701679191,0.0,0.46118920082785114
Munich,0.9649652236519606,2.560934002324107e-05,0.8333333333333334,0.0008542768959435626,0.34439632189077735,0.03237708327445574,0.5724925960714536,0.06079925987289784,0.333184764250938,0.572298647576471
Municipality of Athens,0.8535983896476261,2.2387900813315452e-07,0.6442687747035574,3.905185853124103e-06,0.6105785433750064,0.08220134008930956,0.6872831109424203,0.06432598887876209,0.5935564139795431,0.6774222557403891
Nairobi,0.44965469887039095,0.37097564693789664,0.3333333333333333,0.46944444444444444,0.5994719812025928,0.059636206557831285,0.4499025216390254,0.09364459904489252,0.583470611177684,0.4661206023881834
Naples,0.8767412401448074,0.050975739091777064,0.6,0.23333333333333334,0.4544025867402414,0.07442881104671874,0.5052498255663215,0.08064254832054793,0.41866145255914017,0.45226408694230996
Nottingham,0.6886851685992762,0.1302895484086993,0.6,0.1361111111111111,0.599759087996883,0.0675789767970713,0.5599169304893798,0.04385841006476042,0.5572098782107151,0.5576423534396873
Osaka,0.7413232357327662,0.05653919677846156,0.6190476190476191,0.06904761904761905,0.2850299324698703,0.03398201392745314,0.6740302130773417,0.044712484227237885,0.2981196661047883,0.69088201558653
Oslo,0.8856324133560702,0.001486938023065062,0.6666666666666666,0.012665343915343916,0.4746330792980532,0.05097682207246319,0.4320971794722533,0.08500766584299636,0.45315100959247,0.42998336045634894
Ottawa,0.062057011556052616,0.8948514855781269,0.4285714285714286,0.2388888888888889,0.583854938797848,0.050938088789308784,0.44959037084108566,0.06438610490146213,0.5743904482968402,0.4563424535701294
Palermo,0.7944388191770101,5.987889184502592e-06,0.6442687747035574,3.905185853124103e-06,0.531219890008213,0.08918701447231121,0.4595786604828203,0.1408152985082785,0.5312159663508569,0.4885557480711392
Paris,0.9122805723884554,0.004173239505810793,0.5238095238095238,0.1361111111111111,0.40934141728376233,0.03146653117474846,0.7512216973829128,0.06335992190047872,0.4042772185862096,0.7405929768941989
Philadelphia,0.14456202961979733,0.7326988730022443,0.3571428571428571,0.27509920634920637,0.5746696959565152,0.0672935225119184,0.49305898335141074,0.08503137319458012,0.5828760734326912,0.519882412313504
Región Metropolitana de Santiago,0.7033064953689216,6.13248013978213e-05,0.6123076923076923,2.9445133813533526e-06,0.4985692065954473,0.21589482691114145,0.4691669533225402,0.07107109420007142,0.5478322383001375,0.4599751409427233
Rio de Janeiro,0.2710124808075376,0.4488176419461764,0.37777777777777777,0.1557418430335097,0.7115564479013179,0.08743800289036162,0.4410392976729246,0.07407546390341313,0.739523451785705,0.460737805932395
Rome,0.8996574297435906,2.8223174806183357e-05,0.7948717948717947,3.1929233318122206e-05,0.5050925270549883,0.11382339213820471,0.49503392504420923,0.07865208138786192,0.4884329543625642,0.44386903257398025
Rotterdam,0.9233717763817244,0.07662822361827559,0.6666666666666669,0.3333333333333333,0.5410662363502413,0.045277852673539676,0.48412919759557943,0.052639519841798446,0.5429489830095335,0.4771985853959013
San Antonio,0.49246126614329033,0.062193143405080774,0.3904761904761905,0.04629247541540862,0.5564589069726841,0.10171072460655536,0.2968968355555606,0.06255407773562698,0.589869602846436,0.29535969335615214
San Diego,0.5574358647133025,0.013150946523113634,0.5672514619883041,0.00042903433978188217,0.507975166878302,0.22952238708271067,0.40657927694083157,0.0886175978589949,0.5822656031566263,0.43055892659552775
San Francisco,0.7256723632044407,0.1651985670184146,0.7999999999999999,0.08333333333333333,0.5778972128584288,0.053084829880274784,0.5845714292667127,0.0762241967002328,0.5513154690403235,0.5758309869323189
Sapporo,0.9771956618325457,2.914303577284314e-05,0.8571428571428571,0.001736111111111111,0.45808526700411045,0.06893294852016923,0.4996723911209219,0.061465322276847936,0.4646063500144487,0.501820943676942
Seattle,0.8144552606417159,0.00012237576738439548,0.6666666666666667,0.00013493716455180988,0.6010467312932878,0.09570270545476851,0.5254816368240309,0.06961158002504494,0.6012537338444609,0.5246574724684219
Seoul,,,,,0.0,0.0,0.6435882362856711,0.05556663423379733,0.0,0.6504823092859496
Shanghai,,,,,0.0,0.0,0.2951629966237183,0.09494527405630195,0.0,0.277663937726407
Singapore,0.6963310505006632,0.002730231238475554,0.43333333333333335,0.019780631759408317,0.37557306461575063,0.029408586836069728,0.5319756795787742,0.043963927358993876,0.3800542821133259,0.5356673796707012
Stockholm,0.6476688210504422,0.0015016122616793328,0.380952380952381,0.01567760558660197,0.530430003485603,0.0940620325948312,0.4955004619289912,0.05484299340766078,0.5158201908490632,0.4780452154947397
Sydney,0.7466496563325999,0.25335034366740006,0.6666666666666669,0.3333333333333333,0.4554658196763873,0.040371537449054536,0.43422975468744957,0.05759775182820655,0.4660717077153355,0.41694922748980767
São Paulo,,,,,0.0,0.0,0.39301001232338184,0.13409848975843858,0.0,0.3757846851713794
Taipei,0.7144287715022034,0.11068209067921084,0.6,0.1361111111111111,0.3081378257470226,0.022834363461669137,0.6324505272769625,0.05926435201173116,0.3065954171983838,0.6196032078743913
Tallinn,0.8946595001432587,0.006531052342191737,0.8095238095238096,0.010714285714285714,0.6635586616893792,0.04226218089985807,0.47231267862473775,0.04192914043196196,0.6769923238818174,0.4837297034057063
The Hague,0.7273750539305165,1.517667537687166e-08,0.6646464646464646,1.220455391722786e-10,0.5030758102779247,0.18476396032151163,0.5094652922229691,0.09698817570624355,0.5772737138983159,0.5326383839793124
Tokyo,0.7452164524541457,6.906371193072707e-05,0.6190476190476191,1.87716508464303e-05,0.3120035716657698,0.11101743274799575,0.6103041420302482,0.0811127839800513,0.3125908963460576,0.6160546654210639
Toulouse,0.8172894673751055,0.04702498256889512,0.6,0.1361111111111111,0.23076696240823724,0.01574207537287079,0.5705777538400951,0.053312527927512086,0.23016504011121097,0.55678730791384
Turin,0.939019134953264,0.0017064772947438583,0.7142857142857143,0.03015873015873016,0.5971515964337585,0.07799086489003575,0.5693027054487451,0.051269082689976674,0.6145457491060992,0.6034769196705365
Vancouver,0.7390831395354054,0.05769521936282086,0.6190476190476191,0.06904761904761905,0.6657592015415158,0.04841928950418336,0.5308454476199859,0.07444494259989985,0.6494811938523661,0.5473624833808646
Vienna,0.9046308766973428,3.6211073475047745e-06,0.6380952380952382,0.0005320215605847219,0.5857494665871201,0.05957780303172017,0.5330371558005466,0.08712608571021949,0.5825209548966361,0.5098228529376982
Warsaw,0.868414960948699,1.6137519883169723e-07,0.7402597402597402,7.924322087825826e-08,0.6704564700347331,0.08575185826811794,0.5252641488316228,0.06753258161449709,0.6727509014532969,0.5112903635016269
Washington,0.951822106080683,0.003425751111021717,0.8666666666666666,0.016666666666666666,0.5655576174112605,0.03129519298759831,0.5388772752297407,0.07636421397349348,0.5642381393017293,0.5481518942667836
Zurich,0.9127538008113836,0.011085794269207798,0.6,0.1361111111111111,0.5484575659934364,0.047416124799059836,0.642961459520663,0.06953281831950879,0.5306649197927307,0.614252940000766
